# 
# cfe-sb-stats-tlm.txt
# 
# This file should have the following comma delimited fields:
#   1. Data item description
#   2. Offset of data item in packet
#   3. Length of data item
#   4. Python data type of item ( using python struct library )
#   5. Display type of item ( Currently Dec, Hex, Str, Enm ) 
#   6. Display string for enumerated value 0 ( or NULL if none ) 
#   7. Display string for enumerated value 1 ( or NULL if none ) 
#   8. Display string for enumerated value 2 ( or NULL if none ) 
#   9. Display string for enumerated value 3 ( or NULL if none ) 
# 
#  Note(1): A line that begins with # is a comment
#  Note(2): Remove any blank lines from the end of the file
#
61:  Depth,             560,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
61:  In Use,            562,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
61:  Peak In Use,       564,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
62:  Pipe ID,           566,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
62:  Depth,             568,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
62:  In Use,            570,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
62:  Peak In Use,       572,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
63:  Pipe ID,           574,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
63:  Depth,             576,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
63:  In Use,            578,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
63:  Peak In Use,       580,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
